38	NO	ACTIVIDADES POR EJECUTAR > PRELIMINARES > OBRAS PRELIMINARES > OBRAS PRELIMINARES GENERALES	Obras preliminares generales SUBETAPA 9D	%
39	NO	ACTIVIDADES POR EJECUTAR > PRELIMINARES > OBRAS PRELIMINARES > OBRAS PRELIMINARES GENERALES	Obras preliminares generales SUBETAPA 9E	%
40	NO	ACTIVIDADES POR EJECUTAR > PRELIMINARES > OBRAS PRELIMINARES > OBRAS PRELIMINARES GENERALES	Obras preliminares generales GENERAL	%
44	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Descapote y nivelación subrasante	Compactación de subrasante (Incluye nivelación)	M2
45	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Descapote y nivelación subrasante	Descapote mecánico de material vegetal (Incluye cargue y retiro externo)	M2
47	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Suministro	Adoquín gris 10x20x6	UN
48	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Suministro	Loseta lisa 20x20x6	UN
49	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Suministro	Loseta toperol 20x20x6	UN
50	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Suministro	Loseta guía 20x20x6	UN
51	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Suministro	Bordillo prefabricado A-80	UN
52	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Suministro	Transporte de prefabricados	KG
53	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Suministro	Arena de nivelación	M3
55	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Instalación	M.O. localización y replanteo	M2
56	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Instalación	M.O. instalación de adoquín y tabletas	M2
57	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Instalación	M.O. nivelación con arena	M2
58	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Instalación	M.O. instalación de bordillo prefabricado	ML
59	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Instalación	M.O. instalación de loseta guía y toperol	ML
61	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Excavaciones y rellenos	Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)	M3
62	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Excavaciones y rellenos	Suministro y colocación de recebo B-200	M3
64	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Granulares	Subbase granular SBG	M3
65	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Granulares	Geotextil tejido 2100	M2
67	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Arborización	Suministro e instalación de árbol	UN
69	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro e instalación de banca en concreto con espaldar M-30	UN
70	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro e instalación de banca L=2,06m (CIO106682)	UN
71	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro e instalación de dos canecas M-121	UN
72	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro e instalación de protector de árbol de dos tubos Tipo M-91	UN
73	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro y construcción de contenedor de raíces (Dimensiones: 2,0x1,2m). Incluye tierra negra	UN
74	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro y construcción de contenedor de raíces Tipo A (2,00x2,20)m	UN
