== BARRIDO DE PRECIOS CONTRA IDU 2026-I ==
modo: simulacion

A) se alinean al IDU (coincidencia fiable y MISMA unidad) : 186
   efecto en el presupuesto                               : 195499443
B) coincidencia fiable pero UNIDAD DISTINTA (no se tocan)  : 19
C) marcados REVISAR por estar muy lejos del IDU (no se tocan): 227
   efecto si se aplicaran                                 : -10917608070
D) sin referencia IDU utilizable                           : 905

== A) LOS 30 QUE MAS MUEVEN (se aplican) ==
fila	actividad	UM	cantidad	VU libro	VU IDU	delta
720	Instalación tubería PVC flexible Ø30"	ML	493.09	106754	1070516	475221370	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC U.M. EXT/INT LISO NORMA NTC 5070 D=30" (INCLUYE SUMINISTRO E INSTALACIÓN)
712	Suministro tubería PVC flexible Ø30"	UN	86	5951739	1070516	-419785212	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC U.M. EXT/INT LISO NORMA NTC 5070 D=30" (INCLUYE SUMINISTRO E INSTALACIÓN)
1114	Concreto 3000 psi	M3	890.81	560000	107810	-402815623	REVISAR: MUY POR ENCIMA de IDU	TALÓN EN CONCRETO DE 3000 PSI (SUMINISTRO E INSTALACIÓN).
233	Transporte de tubería en concreto	KG	837.92	49	438466	367358769	REVISAR: MUY POR DEBAJO de IDU	TUBERIA GRP 300MM (INCLUYE TRANSPORTE). SUMINISTRO E INSTALACION.
640	Instalación tubería PVC presión Ø8"	ML	2380.67	20334	160366	333369723	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=8`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
716	Instalación tubería PVC flexible Ø14"	ML	532.14	49819	641522	314869065	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC D=14" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
791	TUBERIA PVC-RDE21 4"	ML	1646.4	228893	46152	-300864782	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC SANITARIA D=4" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
713	Instalación tubería PVC flexible Ø8"	ML	2239.83	28468	160366	295429653	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=8`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
1009	Tendido, conexionado e identificación cable 3x185 mm² Al XLPE 15 kV	ML	1325.76	68377	229288	213329367	REVISAR: MUY POR DEBAJO de IDU	CABLE DE 3X20 XLPE-15-KV-AL (INCLUYE SUMINISTRO E INSTALACIÓN)
793	ACCESORIOS 4"	UND	548.8	191812	448058	140627942	REVISAR: MUY POR DEBAJO de IDU	ELEMENTO DE VENTILACIÓN PARA CÁMARA DE ACCESORIOS EN HG D= 4". (INCLUYE SUMINISTRO E INSTALACIÓN).
1141	base granular 0,20m idu	M3	585.17	236515	15099	-129565742	REVISAR: MUY POR ENCIMA de IDU	ESTABILIZACIÓN DE BASE GRANULAR CON EMULSIÓN + CEMENTO 5% E= 0.20M
665	Válvula ventosa	UN	22	7420000	1614844	-127713432	REVISAR: MUY POR ENCIMA de IDU	VÁLVULA VENTOSA HD COMBINADA TRIPLE ACCIÓN (TRIPLE EFECTO) D=3" EXTREMO BRIDA CLASE 150 (Suministro e instalacion)
967	Tee Ø12" × Ø4"	UN	43	1992800	4865148	123510964	REVISAR: MUY POR DEBAJO de IDU	EMPATE ORTOGONAL PVC-PVC 12"X8" (INCLUYE SUMINISTRO E INSTALACIÓN DE TEE 12"X8"HD, 4 UNIONES, TUBERÍA RDE 21) (SUMINISTRO E INSTALACIÓN)
