TOTAL POR EJECUTAR al empezar = 0

1) precios duplicados eliminados: 722
   f246 (dup de f6)  0  M2 UM
   f248 (dup de f232)  0  PERFILES VIALES UM
   f250 (dup de f6)  0  M2 UM
   f252 (dup de f232)  0  PERFILES VIALES UM
   f254 (dup de f6)  0  M2 UM
   f256 (dup de f232)  0  PERFILES VIALES UM
   f258 (dup de f6)  0  M2 UM
   f260 (dup de f232)  0  PERFILES VIALES UM
   f262 (dup de f6)  0  M2 UM
   f264 (dup de f232)  0  PERFILES VIALES UM
   f266 (dup de f6)  0  M2 UM
   f268 (dup de f232)  0  PERFILES VIALES UM
   f270 (dup de f6)  0  M2 UM
   f271 (dup de f263)  0  252330.943586567 UM
   f272 (dup de f232)  0  PERFILES VIALES UM
   f274 (dup de f6)  0  M2 UM
   f276 (dup de f232)  0  PERFILES VIALES UM
   f278 (dup de f6)  0  M2 UM
   f280 (dup de f232)  0  PERFILES VIALES UM
   f282 (dup de f6)  0  M2 UM
   f284 (dup de f232)  0  PERFILES VIALES UM
   f286 (dup de f6)  0  M2 UM
   f288 (dup de f232)  0  PERFILES VIALES UM
   f290 (dup de f6)  0  M2 UM
   f292 (dup de f232)  0  PERFILES VIALES UM
   f294 (dup de f6)  0  M2 UM
   f296 (dup de f232)  0  PERFILES VIALES UM
   f298 (dup de f6)  0  M2 UM
   f300 (dup de f232)  0  PERFILES VIALES UM
   f302 (dup de f6)  0  M2 UM
   f304 (dup de f232)  0  PERFILES VIALES UM
   f306 (dup de f6)  0  M2 UM
   f308 (dup de f232)  0  PERFILES VIALES UM
   f310 (dup de f6)  0  M2 UM
   f312 (dup de f232)  0  PERFILES VIALES UM
   f314 (dup de f6)  0  M2 UM
   f315 (dup de f295)  0  34697.3687906929 UM
   f316 (dup de f232)  0  PERFILES VIALES UM
   f318 (dup de f6)  0  M2 UM
   f320 (dup de f232)  0  PERFILES VIALES UM
   f322 (dup de f6)  0  M2 UM
   f324 (dup de f232)  0  PERFILES VIALES UM
   f326 (dup de f6)  0  M2 UM
   f327 (dup de f307)  0  302545.340478097 UM
   f328 (dup de f232)  0  PERFILES VIALES UM
   f330 (dup de f6)  0  M2 UM
   f331 (dup de f311)  0  349252.227872035 UM
   f332 (dup de f232)  0  PERFILES VIALES UM
   f334 (dup de f6)  0  M2 UM
   f335 (dup de f295)  0  34697.3687906929 UM
   f336 (dup de f232)  0  PERFILES VIALES UM
   f338 (dup de f6)  0  M2 UM
   f340 (dup de f232)  0  PERFILES VIALES UM
   f342 (dup de f6)  0  M2 UM
   f344 (dup de f232)  0  PERFILES VIALES UM
   f346 (dup de f6)  0  M2 UM
   f348 (dup de f232)  0  PERFILES VIALES UM
   f350 (dup de f6)  0  M2 UM
   f352 (dup de f232)  0  PERFILES VIALES UM
   f354 (dup de f6)  0  M2 UM
   f355 (dup de f291)  0  220699.435157635 UM
   f356 (dup de f232)  0  PERFILES VIALES UM
   f358 (dup de f6)  0  M2 UM
   f359 (dup de f295)  0  34697.3687906929 UM
   f360 (dup de f232)  0  PERFILES VIALES UM
   f362 (dup de f6)  0  M2 UM
   f364 (dup de f232)  0  PERFILES VIALES UM
   f366 (dup de f6)  0  M2 UM
   f367 (dup de f343)  0  443020.754055132 UM
   f368 (dup de f232)  0  PERFILES VIALES UM
   f370 (dup de f6)  0  M2 UM
   f371 (dup de f347)  0  350398.827596513 UM
   f372 (dup de f232)  0  PERFILES VIALES UM
   f374 (dup de f6)  0  M2 UM
   f375 (dup de f351)  0  496467.74447813 UM
   f376 (dup de f232)  0  PERFILES VIALES UM
   f378 (dup de f6)  0  M2 UM
   f379 (dup de f291)  0  220699.435157635 UM
   f380 (dup de f232)  0  PERFILES VIALES UM
   f382 (dup de f6)  0  M2 UM
   f383 (dup de f295)  0  34697.3687906929 UM
   f384 (dup de f232)  0  PERFILES VIALES UM
   f386 (dup de f6)  0  M2 UM
   f388 (dup de f232)  0  PERFILES VIALES UM
   f390 (dup de f6)  0  M2 UM
   f392 (dup de f232)  0  PERFILES VIALES UM
   f394 (dup de f6)  0  M2 UM
   f396 (dup de f232)  0  PERFILES VIALES UM
   f398 (dup de f6)  0  M2 UM
   f400 (dup de f232)  0  PERFILES VIALES UM
   f402 (dup de f6)  0  M2 UM
   f404 (dup de f232)  0  PERFILES VIALES UM
   f406 (dup de f6)  0  M2 UM
   f410 (dup de f18)  0  ML UM
   f412 (dup de f408)  0  SUMINISTRO Y APLICACIÓN DE IMPRIMANTE UM
   f414 (dup de f6)  0  M2 UM
   f418 (dup de f18)  0  ML UM
   f420 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f422 (dup de f18)  0  ML UM
