NOMBRE_LIBRO	VU_LIBRO	MATCH_IDU	TIPO	UM_IDU	VU_IDU	RATIO	BANDERA
"Tapón 2"""	85211.5118993448	"TAPON DE PRUEBA PVC SANITARIA D=2"" (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	UN	6016.0	14.16	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación transformador trifásico tipo aceite 300 kVA, 11,4 kV / 208-120 V	90100000.0	TRANSFORMADOR TIPO PEDESTAL PARA AP DE 45 KVA 11.4/0.208-0.120 KV EN ACEITE VEGETAL (INCLUYE SUMINISTRO E INSTALACIÓN).	APU	UN	6694730.0	13.46	REVISAR: MUY POR ENCIMA de IDU
Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)	79829.3512	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)	APU	M3	5998.0	13.31	REVISAR: MUY POR ENCIMA de IDU
Excavación mecánica en material común (Incluye cargue, transporte y disposición interna)	79829.3512	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)	APU	M3	5998.0	13.31	REVISAR: MUY POR ENCIMA de IDU
Excavación mecánica en material común	79829.3512	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)	APU	M3	5998.0	13.31	REVISAR: MUY POR ENCIMA de IDU
Excavacion mecanica material	79829.3512	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)	APU	M3	5998.0	13.31	REVISAR: MUY POR ENCIMA de IDU
CERRAMIENTO POLISOMBRA	28000.0	POLISOMBRA VERDE PARA CERRAMIENTO. (INCLUYE SUMINISTRO E INSTALACION).	APU	M2	2147.0	13.04	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CER Ø12"""	2060000.0	"TUBERIA CONCRETO D=12"" CL. I SIN REFUERZO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	162873.0	12.65	REVISAR: MUY POR ENCIMA de IDU
SUMINISTRO E INSTALACIÓN CINTA PREVENTIVA REDES	6000.0	"SEÑALIZACIÓN PREVENTIVA PARA REDES DE SERVICIOS PÚBLICOS CON CINTA DE 500 MT X 4"" PELIGRO CALIBRE 3.5 (INCLUYE SUMINISTRO Y COLOCACIÓN)"	APU	ML	531.0	11.30	REVISAR: MUY POR ENCIMA de IDU
Área sendero peatonal - ZMPA	603423.425899566	DEMARCACION DE LINEA SENDERO PEATONAL. AREA: 0.30 M2. (E= 2.3 MILS, TERMOPLASTICA. SUMINISTRO Y APLICACION CON EQUIPO. INCLUYE MICROESFERAS.	APU	ML	58204.0	10.37	REVISAR: MUY POR ENCIMA de IDU
Retiro/demolición de tubería existente	424000.0	RETIRO DE TUBERÍA METÁLICA EXISTENTE. INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL.	APU	ML	42416.0	10.00	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CER Ø18"""	3050000.0	"TUBERIA CONCRETO D=18"" CL. I SIN REFUERZO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	315153.0	9.68	REVISAR: MUY POR ENCIMA de IDU
"Empate en tee Ø8"" × Ø2"""	10563960.0	"EMPATE ORTOGONAL PEAD-PEAD 8""X4"" (INCLUYE SUMINISTRO E INSTALACIÓN DE TEE  8""X4""PEAD, 2 UNIONES, TUBERÍA RDE 21 (SUMINISTRO E INSTALACIÓN)"	APU	UN	1117192.0	9.46	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CSR Ø18"""	2900000.0	"TUBERIA CONCRETO D=18"" CL. I SIN REFUERZO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	315153.0	9.20	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación transformador trifásico tipo aceite 112,5 kVA, 11,4 kV / 208-120 V	58300000.0	TRANSFORMADOR TIPO PEDESTAL PARA AP DE 45 KVA 11.4/0.208-0.120 KV EN ACEITE VEGETAL (INCLUYE SUMINISTRO E INSTALACIÓN).	APU	UN	6694730.0	8.71	REVISAR: MUY POR ENCIMA de IDU
Caja convencional para válvula	1010000.0	"MANIJA DE IZAJE D= 1"" PARA TAPA DE CAJA VÁLVULA. SUMINISTRO E INSTALACIÓN"	APU	UN	122735.0	8.23	REVISAR: MUY POR ENCIMA de IDU
"Construcción y conexión de acometida Ø1"""	1590000.0	ACOMETIDA EN CONDUCTORES DE COBRE, (4NO. 1/0 + 1NO. 4) AWG, AISLADOS PARA 600 V C.A. INCLUYE CONDUCTORES, CONEXIONES, ACCESORIOS DE MONTAJE, ELEMENTOS DE CONEXIÓN Y DE MARCACIÓN. (INCLUYE SUMINISTRO E INSTALACIÓN)	APU	ML	195578.0	8.13	REVISAR: MUY POR ENCIMA de IDU
Suministro de Tubería	1038889.80276727	"TUBERÍA HDPE 8"" (SUMINISTRO E INSTALACIÓN)"	APU	ML	127982.0	8.12	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CSR Ø20"""	3120000.0	"TUBERIA CONCRETO D=20"" CL. I SIN REFUERZO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	403869.0	7.73	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CSR Ø12"""	1220000.0	"TUBERIA CONCRETO D=12"" CL. I SIN REFUERZO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	162873.0	7.49	REVISAR: MUY POR ENCIMA de IDU
"Tubería PVC 1,1/2"" RDE 21"	152574.13097355	"TUBERIA PVC PRESION E.L. D=1 1/2"" RDE 21 PSI 200 (INCLUYE LIMPIEZA Y SOLDADURA). SUMINISTRO E INSTALACION."	APU	ML	20615.0	7.40	REVISAR: MUY POR ENCIMA de IDU
"Reducción concéntrica Ø8"" × Ø4"""	2026720.0	"REDUCCIÓN CONCENTRICA HD EL 4"" X 3"". SUMINISTRO E INSTALACIÓN."	APU	UN	282870.0	7.16	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CSR Ø14"""	1370000.0	"TUBERIA CONCRETO D=14"" CL. I SIN REFUERZO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	194640.0	7.04	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación transformador trifásico tipo aceite 45 kVA, 11,4 kV / 208-120 V	46640000.0	TRANSFORMADOR TIPO PEDESTAL PARA AP DE 45 KVA 11.4/0.208-0.120 KV EN ACEITE VEGETAL (INCLUYE SUMINISTRO E INSTALACIÓN).	APU	UN	6694730.0	6.97	REVISAR: MUY POR ENCIMA de IDU
"Empate en tee Ø6"" × Ø6"""	13389920.0	"EMPATE ORTOGONAL PVC-PVC 6""X4"" (INCLUYE SUMINISTRO E INSTALACIÓN DE TEE 6""X4""PVC, 4 UNIONES, TUBERÍA RDE 21) (SUMINISTRO E INSTALACIÓN)"	APU	UN	1983390.0	6.75	REVISAR: MUY POR ENCIMA de IDU
Base de pozo de inspección	1908000.0	TAPA PARA POZO DE INSPECCIÓN, D=0.70 M. INCLUYE SUMINISTRO E INSTALACIÓN.	APU	UN	284083.0	6.72	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación base, cono y tapa para pozo de inspección	6292914.64494694	CONO POZO INSPECCIÓN PREFABRICADO D= 1.20M X 0.60M E=0.10M H= 0.75M (INC. SUMINISTRO E INST. NO INC. ARO DE AJUSTE, ARO-TAPA Y TAPA)	APU	UN	959614.0	6.56	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación transformador trifásico tipo aceite 30 kVA, 11,4 kV / 208-120 V	42400000.0	TRANSFORMADOR TIPO PEDESTAL PARA AP DE 45 KVA 11.4/0.208-0.120 KV EN ACEITE VEGETAL (INCLUYE SUMINISTRO E INSTALACIÓN).	APU	UN	6694730.0	6.33	REVISAR: MUY POR ENCIMA de IDU
"Tubería PVC 2"" RDE 21"	165432.679496161	"TUBERIA PVC D=2"" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)"	APU	ML	26617.0	6.22	REVISAR: MUY POR ENCIMA de IDU
mortero de nivelacion	480000.0	BORDILLO PREFABRICADO A80 (SUMINISTRO E INSTALACIÓN. INCLUYE 3CM MORTERO DE NIVELACIÓN 2000 PSI)	APU	ML	82582.0	5.81	REVISAR: MUY POR ENCIMA de IDU
