actividades de nivel 5 leidas: 1456

== A) MISMO NOMBRE (normalizado) CON TEXTO O PRECIO DISTINTO ==
clave	variantes	precios	filas
base granular bg	Base granular BG | base granular BG	251774,33	100,283,302,320,436,455
comision topografica	Comision topografica | COMISION TOPOGRAFICA	12000000	1171,1237
planos record	Planos record | PLANOS RECORD	20000000	1218,1305
subtotal A: 3

== B) FAMILIAS PARECIDAS (mismas 2 primeras palabras) CON PRECIOS DISTINTOS ==
familia	actividad	UM	VU	veces
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 150 kVA, 11,4 kV / 208-120 V	UN	65720000	1
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 225 kVA, 11,4 kV / 208-120 V	UN	79500000	1
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 300 kVA, 11,4 kV / 208-120 V	UN	90100000	1
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 400 kVA, 11,4 kV / 208-120 V	UN	106000000	1
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 500 kVA, 11,4 kV / 208-120 V	UN	127200000	1
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 630 kVA, 11,4 kV / 208-120 V	UN	153700000	1
instalacion tuberia	Instalación tubería PVC presión Ø1"	ML	2541.76	1
instalacion tuberia	Instalación tubería PVC presión Ø2"	ML	5083.53	1
instalacion tuberia	Instalación tubería PVC presión Ø3"	ML	7625.29	1
instalacion tuberia	Instalación tubería PVC presión Ø4"	ML	10167.05	1
instalacion tuberia	Instalación tubería PVC presión Ø6"	ML	15250.58	1
instalacion tuberia	Instalación tubería PVC presión Ø8"	ML	20334.11	1
instalacion tuberia	Instalación tubería PVC presión Ø10"	ML	25417.64	1
instalacion tuberia	Instalación tubería PVC presión Ø12"	ML	30501.16	1
instalacion tuberia	Instalación tubería y piezas especiales HD Ø4"	ML	127200	1
instalacion tuberia	Instalación tubería y piezas especiales HD Ø12"	ML	320000	1
instalacion tuberia	Instalación tubería PVC flexible Ø8"	ML	28467.75	1
instalacion tuberia	Instalación tubería PVC flexible Ø6"	ML	30000	1
instalacion tuberia	Instalación tubería PVC flexible Ø10"	ML	35584.69	1
instalacion tuberia	Instalación tubería PVC flexible Ø12"	ML	42701.63	2
instalacion tuberia	Instalación tubería PVC flexible Ø14"	ML	49818.57	2
instalacion tuberia	Instalación tubería PVC flexible Ø16"	ML	56935.5	1
instalacion tuberia	Instalación tubería PVC flexible Ø18"	ML	64052.44	1
instalacion tuberia	Instalación tubería PVC flexible Ø24"	ML	85403.26	2
instalacion tuberia	Instalación tubería PVC flexible Ø30"	ML	106754.07	1
instalacion tuberia	Instalación tubería PVC flexible Ø20"	ML	72000	1
instalacion tuberia	Suministro e instalación de tuberia 2Ф3" TDP (incluye excavación, retiro de escombros y relleno)	ML	174404.48	2
instalacion tuberia	Instalación de tubería de concreto reforzado mediante tecnología sin zanja Pipe Jacking de DI 900mm	ML	3334353	1
instalacion tuberia	Instalación de tubería de concreto reforzado mediante tecnología sin zanja Pipe Jacking de DI 30"	ML	3334353	1
instalacion tuberia	Instalación de tubería de alcantarillado en concreto	ML	4260.41	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 1	%	12700139793.85	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 2	%	3665203923.61	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 3	%	1733118405.57	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 3A	%	195447152.15	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 3B	%	2410679445.07	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 4	%	801751985.66	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 4A	%	410984926.96	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 4B	%	1387833434.34	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 4C	%	195223463.77	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 4D	%	115374134.61	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 4E	%	10913390535.84	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 4F	%	528064742.65	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 5	%	351491589	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 5A	%	1427427914.61	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 5B	%	266776874.69	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 5C	%	301431583.46	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 5D	%	512579428.99	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 5E	%	1099229718.15	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 5F	%	330894660.52	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 5G	%	1056202179.71	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 7	%	4088359645.87	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 8	%	4146250347.13	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 8A	%	1909929188.63	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 8B	%	1426172944.99	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 8C	%	1308643446.73	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 8D	%	343041214.91	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 9	%	694632480.57	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 9A	%	1120996984.53	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 9B	%	1038040215.43	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 9C	%	904201859.64	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 9D	%	1177106284.75	1
interventoria hon	INTERVENTORIA + HON + REEMB SUBETAPA 9E	%	0	1
interventoria hon	INTERVENTORIA + HON + REEMB GENERAL	%	85426423857.6	1
linea continua	Línea continua de color amarillo - Pintura de dos componentes metil metacrilato (a=0,12m)	ML	8845.38	1
linea continua	Línea continua de color amarillo - Pintura de dos componentes metil metacrilato (a=0,15m)	ML	10083.74	1
linea continua	Línea continua de color blanco - Pintura de dos componentes metil metacrilato (a=0,12m)	ML	8845.38	1
linea continua	Línea continua de color blanco para ciclorruta - Pintura acrílica (a=0,10m)	ML	2176.24	1
linea discontinua	Línea discontinua de color amarillo para ciclorruta 1m x 2m - Pintura acrílica (a=0,10m)	ML	725.41	1
linea discontinua	Línea discontinua de color blanco 1m x 1m - Pintura de dos componentes metil metacrilato (a=0,20m)	ML	6722.49	1
linea discontinua	Línea discontinua de color blanco 3m x 5m - Pintura de dos componentes metil metacrilato (a=0,12m)	ML	3317.02	1
linea pare	Línea de Pare - Pintura acrílica (a=0,2m)	M2	27799.77	1
linea pare	Línea de Pare - Pintura de dos componentes metil metacrilato (a=0,6m)	M2	73290.31	1
localizacion replanteo	M.O. localización y replanteo	M2	6201.63	4
localizacion replanteo	Localizacion y replanteo	M2	6201.63	35
localizacion replanteo	Localización y replanteo topográfico	ML	4770	3
mano obra	Mano de obra losa contrapiso	M2	53000	11
mano obra	Mano de obra tuberia novafort 315 mm - 6"	ML	42702	5
mano obra	Mano de obra tuberia novafort 250 mm - 8"	ML	35978.2	1
mano obra	Mano de obra tuberia novafort 315 mm - 4"	ML	42702	1
mat concreto	MAT - Concreto pobre 1500 psi	M3	422463	3
mat concreto	MAT - Concreto industrializado 4000 psi	M3	650000	3
mat concreto	MAT - Concreto tremie 4000 psi	M3	780000	1
obras preliminares	Obras preliminares generales SUBETAPA 1	%	12270666467.49	1
obras preliminares	Obras preliminares generales SUBETAPA 2	%	3541259829.57	1
obras preliminares	Obras preliminares generales SUBETAPA 3	%	1674510536.78	1
obras preliminares	Obras preliminares generales SUBETAPA 3A	%	188837828.16	1
obras preliminares	Obras preliminares generales SUBETAPA 3B	%	2329158884.13	1
obras preliminares	Obras preliminares generales SUBETAPA 4	%	774639599.67	1
obras preliminares	Obras preliminares generales SUBETAPA 4A	%	397086885.95	1
obras preliminares	Obras preliminares generales SUBETAPA 4B	%	1340901868.93	1
obras preliminares	Obras preliminares generales SUBETAPA 4C	%	188621704.13	1
obras preliminares	Obras preliminares generales SUBETAPA 4D	%	111472593.82	1
obras preliminares	Obras preliminares generales SUBETAPA 4E	%	10544338681.97	1
obras preliminares	Obras preliminares generales SUBETAPA 4F	%	510207480.82	1
obras preliminares	Obras preliminares generales SUBETAPA 5	%	339605400	1
obras preliminares	Obras preliminares generales SUBETAPA 5A	%	1379157405.42	1
obras preliminares	Obras preliminares generales SUBETAPA 5B	%	257755434.48	1
obras preliminares	Obras preliminares generales SUBETAPA 5C	%	291238244.89	1
obras preliminares	Obras preliminares generales SUBETAPA 5D	%	495245825.11	1
obras preliminares	Obras preliminares generales SUBETAPA 5E	%	1062057698.7	1
obras preliminares	Obras preliminares generales SUBETAPA 5F	%	319704986.01	1
obras preliminares	Obras preliminares generales SUBETAPA 5G	%	1020485197.78	1
obras preliminares	Obras preliminares generales SUBETAPA 6	%	1634734309.17	1
obras preliminares	Obras preliminares generales SUBETAPA 7	%	3950105938.04	1
obras preliminares	Obras preliminares generales SUBETAPA 8	%	4006038982.74	1
obras preliminares	Obras preliminares generales SUBETAPA 8A	%	1845342211.24	1
obras preliminares	Obras preliminares generales SUBETAPA 8B	%	1377944874.38	1
obras preliminares	Obras preliminares generales SUBETAPA 8C	%	1264389803.6	1
obras preliminares	Obras preliminares generales SUBETAPA 8D	%	331440787.35	1
obras preliminares	Obras preliminares generales SUBETAPA 9	%	671142493.3	1
obras preliminares	Obras preliminares generales SUBETAPA 9A	%	1083088873.94	1
obras preliminares	Obras preliminares generales SUBETAPA 9B	%	1002937406.21	1
obras preliminares	Obras preliminares generales SUBETAPA 9C	%	873624985.16	1
obras preliminares	Obras preliminares generales SUBETAPA 9D	%	1137300758.21	1
obras preliminares	Obras preliminares generales SUBETAPA 9E	%	0	1
obras preliminares	Obras preliminares generales GENERAL	%	82537607591.89	1
operacion ptar	OPERACIÓN PTAR (AGOSTO 2023 - AGOSTO 2024)	AÑO	258634835	1
operacion ptar	OPERACIÓN PTAR (AGOSTO 2024 - AGOSTO 2025)	AÑO	300000000	1
operacion ptar	OPERACIÓN PTAR (AGOSTO 2025 - AGOSTO 2026)	AÑO	300000000	1
operacion ptar	OPERACIÓN PTAR (AGOSTO 2026 - AGOSTO 2027)	AÑO	300000000	1
operacion ptar	OPERACIÓN PTAR (AGOSTO 2027 - AGOSTO 2028)	AÑO	300000000	1
operacion ptar	OPERACIÓN PTAR (AGOSTO 2028 - AGOSTO 2029)	AÑO	300000000	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 1	%	12700139793.85	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 2	%	3665203923.61	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 3	%	1733118405.57	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 3A	%	195447152.15	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 3B	%	2410679445.07	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 4	%	801751985.66	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 4A	%	410984926.96	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 4B	%	1387833434.34	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 4C	%	195223463.77	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 4D	%	115374134.61	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 4E	%	10913390535.84	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 4F	%	528064742.65	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 5	%	351491589	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 5A	%	1427427914.61	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 5B	%	266776874.69	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 5C	%	301431583.46	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 5D	%	512579428.99	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 5E	%	1099229718.15	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 5F	%	330894660.52	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 5G	%	1056202179.71	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 7	%	4088359645.87	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 8	%	4146250347.13	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 8A	%	1909929188.63	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 8B	%	1426172944.99	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 8C	%	1308643446.73	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 8D	%	343041214.91	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 9	%	694632480.57	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 9A	%	1120996984.53	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 9B	%	1038040215.43	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 9C	%	904201859.64	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 9D	%	1177106284.75	1
plan gestion	PLAN DE GESTION URBANA (PGU) SUBETAPA 9E	%	0	1
plan manejo	Plan de manejo de tránsito y señalización	ML	100612.15	1
plan manejo	PLAN DE MANEJO DE TRAFICO	UND	25000000	1
planos record	Planos récord y levantamiento final (Red de acueducto)	GB	37100000	1
planos record	Planos récord y levantamiento final (Red de alcantarillado sanitario)	GB	42400000	1
planos record	Planos récord, rotulado e inventario final de red MT	GB	21200000	1
planos record	Planos record	GLB	20000000	2
pmt subetapa	PMT - SUBETAPA 1	%	12700139793.85	1
pmt subetapa	PMT - SUBETAPA 2	%	3665203923.61	1
pmt subetapa	PMT - SUBETAPA 3	%	1733118405.57	1
pmt subetapa	PMT - SUBETAPA 3A	%	195447152.15	1
pmt subetapa	PMT - SUBETAPA 3B	%	2410679445.07	1
pmt subetapa	PMT - SUBETAPA 4	%	801751985.66	1
pmt subetapa	PMT - SUBETAPA 4A	%	410984926.96	1
pmt subetapa	PMT - SUBETAPA 4B	%	1387833434.34	1
pmt subetapa	PMT - SUBETAPA 4C	%	195223463.77	1
pmt subetapa	PMT - SUBETAPA 4D	%	115374134.61	1
pmt subetapa	PMT - SUBETAPA 4E	%	10913390535.84	1
pmt subetapa	PMT - SUBETAPA 4F	%	528064742.65	1
pmt subetapa	PMT - SUBETAPA 5	%	351491589	1
pmt subetapa	PMT - SUBETAPA 5A	%	1427427914.61	1
pmt subetapa	PMT - SUBETAPA 5B	%	266776874.69	1
pmt subetapa	PMT - SUBETAPA 5C	%	301431583.46	1
pmt subetapa	PMT - SUBETAPA 5D	%	512579428.99	1
pmt subetapa	PMT - SUBETAPA 5E	%	1099229718.15	1
pmt subetapa	PMT - SUBETAPA 5F	%	330894660.52	1
pmt subetapa	PMT - SUBETAPA 5G	%	1056202179.71	1
pmt subetapa	PMT - SUBETAPA 7	%	4088359645.87	1
pmt subetapa	PMT - SUBETAPA 8	%	4146250347.13	1
pmt subetapa	PMT - SUBETAPA 8A	%	1909929188.63	1
pmt subetapa	PMT - SUBETAPA 8B	%	1426172944.99	1
pmt subetapa	PMT - SUBETAPA 8C	%	1308643446.73	1
pmt subetapa	PMT - SUBETAPA 8D	%	343041214.91	1
pmt subetapa	PMT - SUBETAPA 9	%	694632480.57	1
pmt subetapa	PMT - SUBETAPA 9A	%	1120996984.53	1
pmt subetapa	PMT - SUBETAPA 9B	%	1038040215.43	1
pmt subetapa	PMT - SUBETAPA 9C	%	904201859.64	1
pmt subetapa	PMT - SUBETAPA 9D	%	1177106284.75	1
pmt subetapa	PMT - SUBETAPA 9E	%	0	1
pruebas hermeticidad	Pruebas de hermeticidad y CCTV según norma EAAB de tramos acabados	GB	50000000	1
pruebas hermeticidad	PRUEBAS HERMETICIDAD-CCTV	UN	6000000	1
reduccion concentrica	Reducción concéntrica Ø4" × Ø2"	UN	822560	1
reduccion concentrica	Reducción concéntrica Ø4" × Ø3"	UN	1005940	1
reduccion concentrica	Reducción concéntrica Ø6" × Ø2"	UN	1195680	1
reduccion concentrica	Reducción concéntrica Ø6" × Ø4"	UN	1598480	1
reduccion concentrica	Reducción concéntrica Ø8" × Ø4"	UN	2026720	1
reduccion concentrica	Reducción concéntrica Ø8" × Ø6"	UN	2476160	1
reduccion concentrica	Reducción concéntrica Ø12" × Ø8"	UN	3936840	1
relleno arena	Relleno en arena peña	M3	110000	5
relleno arena	Relleno en arena limpia para protección de ductos	M3	267915	1
relleno arena	RELLENO EN ARENA DE PEÑA	M3	110000	1
relleno material	Relleno con material seleccionado B-200	M3	101915.14	2
relleno material	Relleno Material seleccionado(montañas)	M3	67000	2
relleno material	Relleno con material seleccionado de excavación	M3	23203.01	3
relleno material	Relleno con material orgánico para bioretenedor	M3	100000	1
relleno recebo	Relleno en recebo b400	M3	107000	5
relleno recebo	RELLENO EN RECEBO B-200	M3	110000	1
senal vertical	Señal vertical (0,60mx0,60m)	UN	650076.61	1
senal vertical	Señal vertical ciclorruta doble (0,45m x 0,45m)	UN	800296.48	1
senal vertical	Señal vertical ciclorruta sencilla "Fin ciclorruta"	UN	656243.11	1
senal vertical	Señal vertical ciclorruta sencilla "Inicio ciclorruta"	UN	656243.11	1
senal vertical	Señal vertical ciclorruta sencilla (0,45m x 0,45m)	UN	656243.11	1
senal vertical	Señal vertical SP-46A / SR-30	UN	888750.3	1
senal vertical	Señal vertical SPB-03	UN	656243.11	1
senal vertical	Señal vertical SPB-04	UN	656243.11	1
senal vertical	Señal vertical SPC-01 / SPC-01	UN	800296.48	1
senal vertical	Señal vertical SPC-01 / SRC-01	UN	800296.48	1
senal vertical	Señal vertical ubicación de cruce ciclistas SP-59A	UN	765134.42	1
senal vertical	Señal vertical ubicación de cruce peatonal SP-46	UN	765134.42	1
senal vertical	Señal vertical ubicación de cruce peatonal SP-46B	UN	800633.44	1
subbase granular	Subbase granular SBG	M3	120348.37	6
subbase granular	Subbase granular SBG (sello subrasante)	M3	120348.37	1
subbase granular	Subbase granular 0,20m idu	M3	217337	5
tee 12	Tee Ø12" × Ø4"	UN	1992800	1
tee 12	Tee Ø12" × Ø6"	UN	2129540	1
tee 12	Tee Ø12" × Ø8"	UN	2268400	1
tee 12	Tee Ø12" × Ø12"	UN	2550360	1
tee 6	Tee Ø6" × Ø1"	UN	754720	1
tee 6	Tee Ø6" × Ø2"	UN	809840	1
tee 6	Tee Ø6" × Ø4"	UN	921140	1
tee 6	Tee Ø6" × Ø6"	UN	1035620	1
tee 8	Tee Ø8" × Ø2"	UN	1136320	1
tee 8	Tee Ø8" × Ø4"	UN	1257160	1
tee 8	Tee Ø8" × Ø6"	UN	1380120	1
tee 8	Tee Ø8" × Ø8"	UN	1505200	1
tendido conexionado	Tendido, conexionado e identificación cable 3x120 mm² Al XLPE 15 kV	ML	53000	1
tendido conexionado	Tendido, conexionado e identificación cable 3x185 mm² Al XLPE 15 kV	ML	68377	1
tendido conexionado	Tendido, conexionado e identificación cable 3x240 mm² Al XLPE 15 kV	ML	84800	1
transporte disposicion	Transporte y disposición final de sobrantes	M3	106000	1
transporte disposicion	Transporte y disposición final de escombros (21 km)	M3	138498.03	1
tuberia grp	Suministro de Tubería GRP 92"	ML	8710876.02	1
tuberia grp	Suministro de Tubería GRP 48"	ML	2366186.81	1
tuberia novafor	Suministro tuberia novafor 315 mm 6"- 6 mts	UN	941853	5
tuberia novafor	Suministro tuberia novafor 250 mm 8"- 6 mts	UN	654547	1
tuberia novafor	Suministro tuberia novafor 315 mm 4"- 6 mts	UN	941853	1
tuberia piezas	Suministro tubería y piezas especiales HD Ø4"	UN	339200	1
tuberia piezas	Suministro tubería y piezas especiales HD Ø12"	UN	9200000	1
tuberia pvc	Suministro tubería PVC presión Ø1"	UN	7189.11	1
tuberia pvc	Suministro tubería PVC presión Ø2"	UN	25927.43	1
tuberia pvc	Suministro tubería PVC presión Ø3"	UN	49789.45	1
tuberia pvc	Suministro tubería PVC presión Ø4"	UN	65764.1	1
tuberia pvc	Suministro tubería PVC presión Ø6"	UN	135112.06	1
tuberia pvc	Suministro tubería PVC presión Ø8"	UN	228863.66	1
tuberia pvc	Suministro tubería PVC presión Ø10"	UN	360277.94	1
tuberia pvc	Suministro tubería PVC presión Ø12"	UN	504098.05	1
tuberia pvc	Suministro tubería PVC flexible Ø8"	UN	448151.71	1
tuberia pvc	Suministro tubería PVC flexible Ø6"	UN	340000	1
tuberia pvc	Suministro tubería PVC flexible Ø10"	UN	654546.72	1
tuberia pvc	Suministro tubería PVC flexible Ø12"	UN	941852.76	2
tuberia pvc	Suministro tubería PVC flexible Ø14"	UN	1411491.65	2
tuberia pvc	Suministro tubería PVC flexible Ø16"	UN	1726406.79	1
tuberia pvc	Suministro tubería PVC flexible Ø18"	UN	2229654.29	1
tuberia pvc	Suministro tubería PVC flexible Ø24"	UN	3983204.53	2
tuberia pvc	Suministro tubería PVC flexible Ø30"	UN	5951739.39	1
tuberia pvc	Suministro tubería PVC flexible Ø20"	UN	2900000	1
tuberia pvc	TUBERIA PVC-RDE21 4"	ML	228893	1
tuberia pvc	TUBERIA PVC-RDE21 1"	ML	6856.9	1
uniones grp	Uniones GRP para tuberia de 48"	UN	1247108.42	1
uniones grp	Uniones GRP para tuberia de 92"	UN	2810416.4	1
valvula compuerta	Válvula de compuerta Ø4"	UN	1610000	1
valvula compuerta	Válvula de compuerta Ø6"	UN	3030000	1
valvula compuerta	Válvula de compuerta Ø8"	UN	5110000	1
valvula compuerta	Válvula de compuerta Ø12"	UN	10250000	1
subtotal B: 68 familias
