NOMBRE	X	Y	ATTS
A Tapon	83239.722	95585.249	NODO=29;DIAMETRO=2;
A Buje	83239.731	95582.059	NODO=28;DIAM=4x2;
A Tee	83118.421	95578.264	NODO=21;DIAM=12x4;
A Tapon	82961.104	95580.834	NODO=13;DIAMETRO=2;
A Buje	82961.172	95577.147	NODO=12;DIAM=4x2;
CODO90	82900.081	95579.198	NODO=4A;DIAM=12;
A Tee	83146.964	95073.187	NODO=599;DIAM=6x4;
A Tee	83112.173	95218.308	NODO=630;DIAM=8x4;
A Tee	82899.106	95486.962	NODO=363;DIAM=12x4;
A Tee	83625.962	95016.224	NODO=481;DIAM=12x4;
A Tee	83692.955	95221.037	NODO=467;DIAM=12x4;
A Tee	83664.212	95334.265	NODO=457;DIAM=12x4;
A Tee	83618.484	95421.08	NODO=450;DIAM=12x4;
A Tee	83337.574	95582.243	NODO=37;DIAM=12x4;
A Tee	83473.228	95584.786	NODO=40;DIAM=12x4;
A Tee	83518.638	95610.672	NODO=52;DIAM=12x4;
A Tee	83522.054	95796.569	NODO=75;DIAM=12x4;
A Tee	83532.02	95817.564	NODO=78;DIAM=12x4;
A Tee	83611.001	95851.327	NODO=87;DIAM=6x4;
A Tee	83555.308	95864.155	NODO=96;DIAM=8x4;
A Tee	82952.532	95733.58	NODO=218;DIAM=6x4;
A Tee	83014.805	95810.799	NODO=211;DIAM=6x4;
A Tee	82897.495	95653.716	NODO=223;DIAM=6x4;
A Tee	83476.865	95539.865	NODO=429;DIAM=12x4;
A Tee	83377.887	95537.815	NODO=424;DIAM=12x4;
A Tee	83278.879	95535.781	NODO=418;DIAM=12x4;
A Tee	83179.958	95533.842	NODO=413;DIAM=12x4;
A Tee	83083.968	95532.194	NODO=406;DIAM=12x4;
A Tee	82935.085	95529.609	NODO=400;DIAM=12x4;
A Tee	82931.039	95574.668	NODO=7;DIAM=12x4;
A Tee	82872.392	95565.693	NODO=233;DIAM=12x4;
A Tee	82809.538	95640.876	NODO=240A;DIAM=12x4;
A Tee	82722.235	95685.404	NODO=268;DIAM=12x4;
A Tee	82286.995	95271.898	NODO=338;DIAM=12x4;
A Tee	82350.687	95345.667	NODO=335;DIAM=12x4;
A Tee	82414.462	95419.411	NODO=332;DIAM=12x4;
A Tee	82477.873	95493.719	NODO=327;DIAM=12x4;
A Tee	82540.56	95568.35	NODO=324;DIAM=12x4;
A Tee	82603.282	95643.025	NODO=321;DIAM=12x4;
A Tee	82665.618	95713.307	NODO=284;DIAM=8x4;
A Tee	82723.301	95785.893	NODO=289;DIAM=8x4;
A Tee	82785.453	95860.352	NODO=292;DIAM=8x4;
A Tee	83076.781	95883.423	NODO=208;DIAM=6x4;
A Tee	83585.266	96151.169	NODO=118;DIAM=6x4;
A Tee	83542.367	96206.473	NODO=140;DIAM=6x4;
A Tee	83590.022	95954.905	NODO=103;DIAM=8x4;
A Tee	83541.967	96035.322	NODO=145;DIAM=8x4;
A Tee	83587.795	96036.261	NODO=110;DIAM=8x8;
A Tee	83587.511	96046.636	NODO=113;DIAM=8x4;
Union	83580.727	96046.448	NODO=114;DIAM=4 EMPATE LINEA;
A Tee	83447.83	95900.92	NODO=169;DIAM=8x4;
A Tee	83438.827	95952.131	NODO=170;DIAM=6x4;
A Tee	83333.663	95930.666	NODO=162;DIAM=6x4;
A Tee	83144.067	95956.265	NODO=203;DIAM=6x4;
A Tee	83165.375	95974.297	NODO=186;DIAM=8x4;
A Tee	83007.793	95997.778	NODO=313;DIAM=6x4;
A Codo11.25	83506.257	95639.602	NODO=58;DIAMETRO=12;
A Codo11.25	82920.562	95412.845	NODO=385;DIAMETRO=8;
A Codo11.25	82922.963	95443.436	NODO=384;DIAMETRO=8;
A Codo11.25	83543.131	96232.592	NODO=136;DIAMETRO=6;
A Codo11.25	83549.521	96258.202	NODO=135;DIAMETRO=6;
A Tee	83543.012	96228.543	NODO=137;DIAM=6x1;
A Tee	83591.912	96241.017	NODO=129;DIAM=6x6;
A Codo11.25	83589.751	96237.086	NODO=128;DIAMETRO=6;
A Codo11.25	83586.744	96224.538	NODO=127;DIAMETRO=6;
A Codo11.25	83560.901	95861.004	NODO=92;DIAMETRO=6;
A Codo11.25	83602.914	95849.389	NODO=91;DIAMETRO=6;
A Codo22.5	83435.995	96018.333	NODO=152;DIAM=8;
A Codo11.25	83430.804	96016.178	NODO=153;DIAM=8;
A Codo11.25	83442.551	95962.114	NODO=173;DIAMETRO=6;
codo 45	83418.968	95911.738	NODO=167;DIAMETRO=6;
A Codo11.25	83437.373	95948.235	NODO=169;DIAMETRO=6;
A Codo11.25	83329.414	95931.773	NODO=161;DIAMETRO=8;
A Codo11.25	83287.261	95942.595	NODO=185;DIAMETRO=8;
codo 45	83297.886	95941.481	NODO=184;DIAMETRO=8;
codo 45	83104.397	95990.158	NODO=189;DIAMETRO=8;
codo 45	83099.789	95997.976	NODO=190;DIAMETRO=8;
codo 45	82921.079	96007.319	NODO=306;DIAMETRO=6;
A Codo11.25	82804.267	95882.891	NODO=295;DIAMETRO=8;
A Codo11.25	82809.237	95892.139	NODO=296;DIAMETRO=8;
A Codo11.25	82664.557	95688.246	NODO=277;DIAMETRO=12;
codo 45	82662.104	95688.095	NODO=278;DIAMETRO=12;
A Codo11.25	83153.106	95957.563	NODO=201;DIAMETRO=6;
A Codo11.25	83134.923	95951.555	NODO=207;DIAMETRO=6;
A Codo11.25	82909.76	95679.613	NODO=221;DIAMETRO=6;
A Codo11.25	82902.293	95666.106	NODO=222;DIAMETRO=6;
A Tee	82998.287	95791.313	NODO=214;DIAM=6x6;
A Tee	83002.043	95793.905	NODO=217;DIAM=8x6 EMPATE;
A Codo11.25	82885.216	95538.274	NODO=359;DIAMETRO=12;
A Codo11.25	82900.606	95423.943	NODO=367;DIAMETRO=12;
A Codo11.25	82900.99	95473.287	NODO=366;DIAMETRO=12;
A Codo11.25	82897.512	95498.487	NODO=362;DIAMETRO=12;
A Codo11.25	82875.11	95560.921	NODO=232A;DIAMETRO=12;
A Codo11.25	82864.094	95580.262	NODO=236;DIAMETRO=12;
A Codo11.25	82870.085	95328.954	NODO=373;DIAMETRO=6;
A Codo11.25	82883.391	95356.467	NODO=372;DIAMETRO=6;
A Codo11.25	82879.01	95303.99	NODO=396;DIAMETRO=6;
A Codo11.25	82903.917	95351.3	NODO=395;DIAMETRO=6;
A Codo11.25	82913.931	95380.353	NODO=394;DIAMETRO=6;
A Codo11.25	83113.643	95460.285	NODO=525;DIAMETRO=8;
codo 45	83117.9	95455.335	NODO=524;DIAMETRO=8;
A Codo11.25	83117.342	95502.39	NODO=526;DIAMETRO=8;
A Tee	83124.028	95532.799	NODO=410;DIAM=12x8;
A Codo11.25	83119.689	95515.295	NODO=527;DIAMETRO=8;
A Codo11.25	83325.934	95526.763	NODO=530;DIAMETRO=8;
A Tee	83342.157	95461.667	NODO=535;DIAM=8x8;
A Codo11.25	83693.396	95187.212	NODO=473;DIAMETRO=12;
A Codo11.25	83692.773	95235.068	NODO=466;DIAMETRO=12;
A Codo11.25	83679.589	95297.872	NODO=462;DIAMETRO=12;
A Codo11.25	83690.486	95153.335	NODO=474;DIAMETRO=12;
A Codo11.25	83657.33	95057.568	NODO=478;DIAMETRO=12;
A Tee	83586.099	95255.599	NODO=548;DIAM=8x8;
A Tee	83324.075	95280.187	NODO=510;DIAM=12x12;
A Tee	83311.89	95265.836	NODO=618;DIAM=12x12;
A Tee	83239.748	95327.561	NODO=616;DIAM=12x8;
codo 45	83236.799	95330.087	NODO=615;DIAMETRO=12;
codo 45	83230.689	95329.507	NODO=614;DIAMETRO=12;
codo 45	83224.302	95336.81	NODO=621;DIAMETRO=8;
codo 45	83223.985	95340.14	NODO=622;DIAMETRO=8;
A Tee	83229.178	95327.705	NODO=613;DIAM=12x8;
A Tee	82916.782	95394.324	NODO=389;DIAM=8x8;
A Codo11.25	82727.939	95684.283	NODO=267;DIAMETRO=12;
A Codo11.25	82755.669	95673.677	NODO=263;DIAMETRO=12;
A Codo11.25	82783.237	95659.605	NODO=262;DIAMETRO=12;
A Tee	82912.492	95528.807	NODO=380;DIAM=12x8;
codo 45	82913.132	95525.367	NODO=381;DIAMETRO=8;
A Tee	82941.277	95529.705	NODO=399;DIAM=12x12;
A Tee	82890.178	95522.149	NODO=360;DIAM=12x12;
A Codo11.25	82860.454	95318.701	NODO=374;DIAMETRO=6;
A Tee	82893.901	95389.709	NODO=370;DIAM=12x12;
A Tee	83022.58	95288.533	NODO=578;DIAM=12x8;
codo 45	83028.958	95283.153	NODO=637;DIAMETRO=8;
codo 45	83034.716	95283.642	NODO=636;DIAMETRO=8;
A Codo11.25	82688.367	95692.062	NODO=271;DIAMETRO=12;
A Tee	82787.29	95226.618	NODO=376;DIAM=6x4;
A Tee	82789.589	95229.411	NODO=375;DIAM=6x6;
A Tee	82805.706	95216.078	NODO=397;DIAM=6x6;
A Tee	82918.923	95380.764	NODO=392;DIAM=12x8;
codo 45	83323.728	95939.294	NODO=156;DIAMETRO=8;
codo 45	83323.398	95936.138	NODO=157;DIAMETRO=8;
A Codo11.25	83342.255	95954.964	NODO=155;DIAMETRO=8;
A Codo11.25	83344.915	95957.778	NODO=154;DIAMETRO=8;
A Tee	83156.239	95960.34	NODO=199;DIAM=6x6 EMPATE;
VALVULA PROY	82879.589	95547.633	NODO=358;DIAMETRO=12;
codo 45	83420.548	95909.024	NODO=166;DIAMETRO=6;
codo 45	83457.82	96033.467	NODO=148;DIAMETRO=8;
codo 45	83454.444	96027.661	NODO=149;DIAMETRO=8;
codo 45	83454.463	96021.078	NODO=150;DIAMETRO=8;
codo 45	83449.289	96018.386	NODO=151;DIAMETRO=8;
A Tee	83668.351	95326.351	NODO=458;DIAM=12x8;
A Tee	83616.985	95542.104	NODO=437;DIAM=8x4;
A Tee	83554.146	95871.849	NODO=100;DIAM=8x6;
Union	83542.041	96195.313	NODO=144;DIAM=4 EMPATE LINEA;
A Tee	83586.672	96220.968	NODO=124;DIAM=6x2;
A Tee	83593.632	96244.205	NODO=130;DIAM=6x4;
A Tee	83557.621	95862.852	NODO=93;DIAM=6x12;
Union	82936.031	96036.301	NODO=319;DIAM=10 EMPATE LINEA;
A Tee	83322.767	95936.695	NODO=158;DIAM=8x8;
A Tee	83310.565	95951.754	NODO=181;DIAM=8x8;
codo 45	82840.049	95928.498	NODO=297;DIAMETRO=8;
codo 45	82846.604	95929.126	NODO=298;DIAMETRO=8;
VALVULA PROY	83094.034	95997.572	NODO=191;DIAMETRO=8;
A Tee	83088.643	95998.047	NODO=194;DIAM=10x8;
A Tee	82874	95675.393	NODO=247;DIAM=8x2 Collarin;
A Tee	82972.065	95794.299	NODO=253;DIAM=8x2 Collarin;
A Tee	82926.117	96008.854	NODO=308;DIAM=6x4;
A Tee	82649.994	95698.822	NODO=279;DIAM=12x12;
A Codo11.25	82675.942	95729.153	NODO=288;DIAMETRO=8;
A Codo11.25	82670.777	95719.613	NODO=287;DIAMETRO=8;
codo 45	82660.007	95710.906	NODO=282;DIAMETRO=8;
codo 45	82663.948	95711.265	NODO=283;DIAMETRO=8;
A Codo11.25	82671.506	95690.735	NODO=273;DIAMETRO=12;
A Codo11.25	82681.799	95692.338	NODO=272;DIAMETRO=12;
A Tee	82877.348	95556.051	NODO=232;DIAM=12x12;
A Tee	82857.665	95589.001	NODO=237;DIAM=12x4;
A Codo11.25	82838.993	95614.381	NODO=239;DIAMETRO=12;
A Tee	82824.78	95627.601	NODO=240;DIAM=12x8;
A Codo11.25	82891.611	95638.521	NODO=226;DIAMETRO=8;
A Codo11.25	82891.521	95577.919	NODO=229;DIAMETRO=8;
A Codo11.25	82889.392	95626.325	NODO=227;DIAMETRO=8;
A Codo11.25	82888.382	95596.838	NODO=228;DIAMETRO=8;
A Tee	83245.334	95347.048	NODO=516;DIAM=8x8;
A Tee	83488.49	95140.578	NODO=493;DIAM=12x8;
A Tee	83163.176	95533.526	NODO=411;DIAM=12x4;
A Tee	83693.291	95195.295	NODO=470;DIAM=12x4;
A Tee	83625.683	95407.437	NODO=454;DIAM=12x4;
A Tee	83511.338	95626.505	NODO=55;DIAM=12x4;
A Tee	83588.409	96013.833	NODO=106;DIAM=8x4;
codo 45	82912.087	95523.604	NODO=382;DIAMETRO=8;
A Tee	82897.075	95564.715	NODO=230;DIAM=12x8;
_None	83769.237	95548.194	
_None	83714.545	95608.168	
Union	83443.169	95966.798	NODO=175;DIAM=4 EMPATE LINEA;
A$C6B1C283F	82991.169	95817.127	
A$C6B1C283F	82991.169	95817.127	
A Tee	83585.562	96167.324	NODO=121;DIAM=6x4;
A Tee	82731.471	95682.932	NODO=264;DIAM=12x4;
A Tee	83526.158	95594.457	NODO=50;DIAM=12x12;
A Tee	83022.359	95294.109	NODO=566;DIAM=12x8;
A Tee	83587.983	96029.423	NODO=109;DIAM=8x4;
A$C6B1C283F	83830.594	95296.85	
A$C6B1C283F	83843.245	95334.565	
A$C6B1C283F	83820.385	95462.74	
A$C6B1C283F	83328.434	95537.554	
A$C6B1C283F	83244.599	95351.526	
A$C6B1C283F	83076.777	95137.447	
A$C6B1C283F	82984.073	95210.131	
A$C6B1C283F	82979.917	95530.301	
A$C6B1C283F	83163.045	95533.937	
A$C6B1C283F	83247.223	95535.708	
A$C6B1C283F	83374.762	95538.606	
A$C6B1C283F	83464.568	95540.647	
A$C6B1C283F	83608.213	95545.644	
A$C6B1C283F	83697.871	95559.11	
A$C6B1C283F	83732.63	95578.772	
A$C6B1C283F	83616.539	95593.781	
A$C6B1C283F	83177.577	95581.858	
A$C6B1C283F	83103.91	95579.296	
A$C6B1C283F	83821.292	95462.622	
A$C6B1C283F	83528.939	95595.844	
A$C6B1C283F	82863.293	95662.954	
A$C6B1C283F	83094.393	95945.863	
A Tee	83587.259	96055.866	NODO=115;DIAM=6x4;
A$C6B1C283F	82889.343	95576.798	
A$C6B1C283F	83843.955	95333.984	
A Tee	83419.924	95908.191	NODO=165;DIAM=8x6;
A Tee	83496.794	95695.187	NODO=60;DIAM=12x4;
A$C6B1C283F	83830.594	95296.85	
A$C6B1C283F	83843.245	95334.565	
A$C6B1C283F	83820.385	95462.74	
A$C6B1C283F	83328.434	95537.554	
A Tee	83157.627	95396.868	NODO=623;DIAM=8x4;
A Tee	83101.302	95474.226	NODO=553;DIAM=8x4;
A Tee	83095.871	95441.627	NODO=557;DIAM=8x8;
A Tee	83063.078	95352.956	NODO=559;DIAM=8x4;
A$C6B1C283F	83244.599	95351.526	
A Tee	83251.58	95341.721	NODO=515;DIAM=8x8;
A Tee	83081.649	95127.948	NODO=595;DIAM=6x4;
A Tee	83126.798	95090.019	NODO=598;DIAM=6x4;
A$C6B1C283F	83076.777	95137.447	
A$C6B1C283F	82984.073	95210.131	
A Tee	82900.189	95421.241	NODO=368;DIAM=12x4;
A$C6B1C283F	82979.917	95530.301	
A$C6B1C283F	83163.045	95533.937	
A$C6B1C283F	83247.223	95535.708	
A$C6B1C283F	83374.762	95538.606	
A$C6B1C283F	83464.568	95540.647	
A$C6B1C283F	83608.213	95545.644	
A$C6B1C283F	83697.871	95559.11	
A$C6B1C283F	83732.63	95578.772	
Union	83555.449	95858.95	NODO=94;DIAM=12 EMPATE LINEA;
A$C6B1C283F	83616.539	95593.781	
A Tee	83535.567	95585.974	NODO=43;DIAM=12x12;
A Tee	83326.06	95582.015	NODO=32;DIAM=12x6;
A$C6B1C283F	83177.577	95581.858	
A$C6B1C283F	83103.91	95579.296	
Union	83117.971	95582.596	NODO=23;DIAM=4 EMPATE LINEA;
Union	83103.185	95581.761	NODO=19;DIAM=6 EMPATE LINEA;
A Tee	83103.556	95578.026	NODO=17;DIAM=12x6;
A Tee	83239.745	95580.248	NODO=27;DIAM=12x4;
A Tee	83609.868	95542.01	NODO=435;DIAM=12x4;
A Tee	83563.94	95541.352	NODO=433;DIAM=12x12;
A Tee	83559.84	95531.269	NODO=445;DIAM=12x12;
A Tee	83464.72	95539.599	NODO=427;DIAM=12x4;
A Tee	83374.909	95537.754	NODO=422;DIAM=12x4;
A Tee	83325.759	95536.744	NODO=421;DIAM=12x8;
A Tee	83105.523	95532.522	NODO=409;DIAM=12x8;
A Tee	82980.023	95530.309	NODO=403;DIAM=12x4;
A Tee	83034.453	95869.758	NODO=258;DIAM=8x2;
A Tee	82961.156	95575.336	NODO=11;DIAM=12x4;
A Tee	82849.791	95932.926	NODO=299;DIAM=8x4;
A Tee	82984.415	95809.262	NODO=257;DIAM=8x8;
A Tee	82974.127	95334.517	NODO=574;DIAM=12x4;
A Tee	82980.663	95329.021	NODO=571;DIAM=12x4;
A Tee	82974.814	95223.642	NODO=580;DIAM=12x4;
A Tee	82979.567	95213.593	NODO=584;DIAM=12x4;
A Tee	83026.736	95174.03	NODO=587;DIAM=12x4;
A Tee	83069.963	95137.773	NODO=593;DIAM=12x12;
A Tee	83062.058	95144.372	NODO=590;DIAM=12x4;
A Tee	83115.337	95191.901	NODO=603;DIAM=12x4;
A Tee	83193.259	95284.856	NODO=607;DIAM=12x4;
A Tee	83532.403	95103.292	NODO=490;DIAM=12x4;
A Tee	83331.427	95273.944	NODO=507;DIAM=12x4;
A Tee	83274.593	95322.205	NODO=512;DIAM=8x4;
A Tee	83361.435	95248.464	NODO=504;DIAM=12x4;
A Tee	83390.457	95223.82	NODO=500;DIAM=12x4;
A Tee	83449.017	95174.097	NODO=497;DIAM=12X4;
A Tee	83537.163	95296.938	NODO=543;DIAM=8x4;
A Tee	83479.071	95346.01	NODO=541;DIAM=8x4;
A Tee	83456.759	95364.741	NODO=538;DIAM=8x4;
A Tee	83410.645	95403.739	NODO=536;DIAM=8x4;
Union	83328.174	95596.103	NODO=35;DIAM=6 EMPATE LINEA;
A$C6B1C283F	83821.292	95462.622	
A$C6B1C283F	83528.939	95595.844	
A$C6B1C283F	82863.293	95662.954	
A$C6B1C283F	83094.393	95945.863	
VALVULA PROY	83016.034	95297.015	NODO=567;DIAMETRO=12;
VALVULA PROY	83035.035	95289.73	NODO=565;DIAMETRO=8;
VALVULA PROY	83247.734	95338.506	NODO=617;DIAMETRO=8;
VALVULA PROY	83363.446	95244.349	NODO=503;DIAMETRO=12;
VALVULA PROY	82866.363	95667.581	NODO=246;DIAMETRO=8;
VALVULA PROY	83325.098	95586.525	NODO=34;DIAMETRO=6;
codo 45	82861.982	95659.336	NODO=244;DIAMETRO=8;
A Codo11.25	83321.122	95581.343	NODO=33;DIAMETRO=6;
A Codo11.25	83098.607	95581.438	NODO=18;DIAMETRO=6;
A Codo11.25	83113.462	95581.635	NODO=22;DIAMETRO=4;
A Tee	82917.728	95398.968	NODO=386;DIAM=8x4;
A Codo11.25	82917.073	95477.539	NODO=383;DIAMETRO=8;
A Codo11.25	82799.472	95649.123	NODO=261;DIAMETRO=12;
A Tee	83125.786	95204.39	NODO=606;DIAM=12x8;
A Tee	82916.119	96011.478	NODO=302;DIAM=8x6;
codo 45	83607.938	95875.646	NODO=84;DIAMETRO=6;
codo 45	83617.641	95855.789	NODO=90;DIAMETRO=6;
A Tee	83198.063	95290.588	NODO=610;DIAM=12x4;
VALVULA PROY	83120.937	95206.102	NODO=627;DIAMETRO=8;
A Codo11.25	83500.671	95661.853	NODO=59;DIAMETRO=12;
A Tee	83495.819	95705.325	NODO=63;DIAM=12x4;
VALVULA PROY	83506.232	95539.197	NODO=432;DIAMETRO=12;
A Tee	83563.595	95524.168	NODO=446;DIAM=12x4;
A Tee	83671.526	95319.915	NODO=459;DIAM=12x4;
A Tee	83679.485	95114.795	NODO=475;DIAM=12x4;
VALVULA PROY	83573.719	95540.237	NODO=434;DIAMETRO=12;
A Codo11.25	83564.532	95536.047	NODO=443;DIAMETRO=12;
A Tee	83013.812	95301.269	NODO=568;DIAM=12x4;
A Codo11.25	83095.595	95458.214	NODO=556;DIAMETRO=8;
A Codo11.25	83076.907	95389.5	NODO=558;DIAMETRO=8;
A Codo11.25	83044.951	95323.969	NODO=562;DIAMETRO=8;
codo 45	83031.839	95300.422	NODO=563;DIAMETRO=8;
codo 45	83028.24	95300.008	NODO=564;DIAMETRO=8;
codo 45	83023.075	95293.527	NODO=576;DIAMETRO=12;
codo 45	83024.042	95289.242	NODO=577;DIAMETRO=12;
codo 45	82974.228	95229.09	NODO=579;DIAMETRO=12;
codo 45	82974.659	95217.729	NODO=583;DIAMETRO=12;
A Tee	83589.681	95054.654	NODO=487;DIAM=12x4;
codo 45	83596.993	95053.025	NODO=485;DIAMETRO=12;
codo 45	83590.706	95052.512	NODO=486;DIAMETRO=12;
A Tee	83123.48	95450.517	NODO=521;DIAM=8x4;
VALVULA PROY	83233.777	95354.501	NODO=517;DIAMETRO=8;
A Tee	83231.264	95358.995	NODO=518;DIAM=8x4;
A Tee	83480.805	95147.104	NODO=494;DIAM=12x4;
A Tee	83574.65	95265.272	NODO=545;DIAM=8x4;
A Tee	83331.887	95475.99	NODO=531;DIAM=8x4;
codo 45	83331.854	95470.38	NODO=534;DIAMETRO=8;
VALVULA PROY	83324.682	95529.919	NODO=529;DIAMETRO=8;
VALVULA PROY	83104.393	95528.352	NODO=552;DIAMETRO=8;
A Tee	83622.598	95587.789	NODO=44;DIAM=8x4;
A Codo11.25	83319.013	95581.896	NODO=31;DIAMETRO=12;
A Codo11.25	83317.254	95581.516	NODO=30;DIAMETRO=12;
A Tee	83190.324	95579.44	NODO=24;DIAM=12x4;
A Tee	83046.887	95577.094	NODO=14;DIAM=12x4;
A Tee	82937.214	95752.041	NODO=250;DIAM=8x4;
A Tee	82667.072	95689.147	NODO=274;DIAM=12x4;
VALVULA PROY	82940.69	96025.383	NODO=318;DIAMETRO=10;
