NOMBRE	X	Y	ATTS
A Hidrante	82805.83	95636.289	NODO=240C;DIAM=4;
Valvula HIDRANTE	82807.011	95637.763	NODO=240B;DIAM=4;
A Hidrante	82721.109	95679.614	NODO=270;DIAM=4;
Valvula HIDRANTE	82721.461	95681.47	NODO=269;DIAM=4;
A Hidrante	82291.473	95268.158	NODO=340;DIAM=4;
Valvula HIDRANTE	82290.018	95269.362	NODO=339;DIAM=4;
A Hidrante	82355.165	95341.926	NODO=337;DIAM=4;
Valvula HIDRANTE	82353.71	95343.13	NODO=336;DIAM=4;
A Hidrante	82418.94	95415.67	NODO=334;DIAM=4;
Valvula HIDRANTE	82417.485	95416.875	NODO=333;DIAM=4;
A Hidrante	82482.3	95490.021	NODO=329;DIAM=4;
Valvula HIDRANTE	82480.845	95491.226	NODO=328;DIAM=4;
A Hidrante	82545.038	95564.609	NODO=326;DIAM=4;
Valvula HIDRANTE	82543.583	95565.814	NODO=325;DIAM=4;
A Hidrante	82607.761	95639.284	NODO=323;DIAM=4;
Valvula HIDRANTE	82606.306	95640.489	NODO=322;DIAM=4;
A Hidrante	82670.096	95709.566	NODO=286;DIAM=4;
Valvula HIDRANTE	82668.642	95710.77	NODO=285;DIAM=4;
A Hidrante	82727.779	95782.152	NODO=291;DIAM=4;
Valvula HIDRANTE	82726.324	95783.357	NODO=290;DIAM=4;
A Hidrante	82789.932	95856.611	NODO=294;DIAM=4;
Valvula HIDRANTE	82788.477	95857.816	NODO=293;DIAM=4;
A Hidrante	83081.276	95879.604	NODO=210;DIAM=4;
Valvula HIDRANTE	83079.831	95880.821	NODO=209;DIAM=4;
A Hidrante	83591.434	96151.013	NODO=120;DIAM=4;
Valvula HIDRANTE	83589.545	96151.058	NODO=119;DIAM=4;
A Hidrante	83536.201	96206.685	NODO=142;DIAM=4;
Valvula HIDRANTE	83538.089	96206.623	NODO=141;DIAM=4;
A Hidrante	83596.188	95955.119	NODO=105;DIAM=4;
Valvula HIDRANTE	83594.301	95955.051	NODO=104;DIAM=4;
A Hidrante	83542.181	96029.156	NODO=147;DIAM=4;
Valvula HIDRANTE	83542.113	96031.044	NODO=146;DIAM=4;
A Hidrante	83449.306	95906.631	NODO=178;DIAM=4;
Valvula HIDRANTE	83448.841	95904.8	NODO=177;DIAM=4;
A Hidrante	83444.357	95950.081	NODO=172;DIAM=4;
A Hidrante	83335.152	95936.373	NODO=164;DIAM=4;
Valvula HIDRANTE	83334.683	95934.544	NODO=163;DIAM=4;
A Hidrante	83145.805	95950.629	NODO=205;DIAM=4;
Valvula HIDRANTE	83145.241	95952.431	NODO=204;DIAM=4;
A Hidrante	83166.864	95980.005	NODO=188;DIAM=4;
Valvula HIDRANTE	83166.395	95978.175	NODO=187;DIAM=4;
A Hidrante	83006.304	95992.071	NODO=315;DIAM=4;
Valvula HIDRANTE	83006.772	95993.9	NODO=314;DIAM=4;
A Hidrante	82782.755	95230.359	NODO=378;DIAM=4;
Valvula HIDRANTE	82784.215	95229.162	NODO=377;DIAM=4;
A Hidrante	83617.031	95535.934	NODO=439;DIAM=4;
Valvula HIDRANTE	83617.014	95537.823	NODO=438;DIAM=4;
A Hidrante	83599.055	96241.262	NODO=132;DIAM=4;
Valvula HIDRANTE	83597.393	96242.161	NODO=131;DIAM=4;
A Hidrante	82928.853	96003.629	NODO=310;DIAM=4;
Valvula HIDRANTE	82927.97	96005.298	NODO=309;DIAM=4;
A Hidrante	83593.425	96056.08	NODO=117;DIAM=4;
Valvula HIDRANTE	83591.537	96056.011	NODO=116;DIAM=4;
A Hidrante	82854.269	95929.185	NODO=301;DIAM=4;
Valvula HIDRANTE	82852.814	95930.389	NODO=300;DIAM=4;
A Hidrante	83069.967	95153.947	NODO=592;DIAM=4;
Valvula HIDRANTE	83068.778	95152.479	NODO=591;DIAM=4;
A Hidrante	83047.068	95570.98	NODO=16;DIAM=4;
Valvula HIDRANTE	83047.007	95572.867	NODO=15;DIAM=4;
A Hidrante	83190.506	95573.273	NODO=26;DIAM=4;
Valvula HIDRANTE	83190.433	95575.16	NODO=25;DIAM=4;
A Hidrante	82967.154	95222.959	NODO=582;DIAM=4;
Valvula HIDRANTE	82969.035	95223.136	NODO=581;DIAM=4;
A Hidrante	83126.561	95454.166	NODO=523;DIAM=4;
Valvula HIDRANTE	83125.348	95452.718	NODO=522;DIAM=4;
A Hidrante	83325.773	95475.164	NODO=533;DIAM=4;
Valvula HIDRANTE	83327.642	95475.438	NODO=532;DIAM=4;
A Hidrante	83451.802	95358.862	NODO=540;DIAM=4;
Valvula HIDRANTE	83453.012	95360.312	NODO=539;DIAM=4;
A Hidrante	83570.437	95260.769	NODO=547;DIAM=4;
Valvula HIDRANTE	83571.752	95262.125	NODO=546;DIAM=4;
A Hidrante	83501.983	95705.592	NODO=65;DIAM=4;
Valvula HIDRANTE	83500.096	95705.507	NODO=64;DIAM=4;
A Hidrante	83622.375	95592.376	NODO=46;DIAM=4;
Valvula HIDRANTE	83622.43	95591.273	NODO=45;DIAM=4;
A Hidrante	83569.093	95526.968	NODO=449;DIAM=4;
Valvula HIDRANTE	83567.408	95526.114	NODO=448;DIAM=4;
A Hidrante	83677.23	95322.268	NODO=461;DIAM=4;
Valvula HIDRANTE	83675.486	95321.542	NODO=460;DIAM=4;
A Hidrante	83685.443	95113.2	NODO=477;DIAM=4;
Valvula HIDRANTE	83683.611	95113.658	NODO=476;DIAM=4;
A Hidrante	83593.657	95059.372	NODO=489;DIAM=4;
Valvula HIDRANTE	83592.444	95057.924	NODO=488;DIAM=4;
A Hidrante	83484.78	95151.822	NODO=496;DIAM=4;
Valvula HIDRANTE	83483.567	95150.374	NODO=495;DIAM=4;
A Hidrante	83366.42	95254.344	NODO=506;DIAM=4;
Valvula HIDRANTE	83365.207	95252.896	NODO=505;DIAM=4;
A Hidrante	83235.258	95363.691	NODO=520;DIAM=4;
Valvula HIDRANTE	83234.045	95362.243	NODO=519;DIAM=4;
A Hidrante	83193.391	95294.617	NODO=612;DIAM=4;
Valvula HIDRANTE	83194.827	95293.389	NODO=611;DIAM=4;
A Hidrante	83010.081	95296.726	NODO=570;DIAM=4;
Valvula HIDRANTE	83011.284	95298.182	NODO=569;DIAM=4;
A Hidrante	82923.513	95397.795	NODO=388;DIAM=4;
Valvula HIDRANTE	82921.66	95398.162	NODO=387;DIAM=4;
A Hidrante	82669.072	95683.598	NODO=276;DIAM=4;
Valvula HIDRANTE	82668.424	95685.372	NODO=275;DIAM=4;
A Hidrante	82941.872	95747.997	NODO=252;DIAM=4;
Valvula HIDRANTE	82940.448	95749.237	NODO=251;DIAM=4;
A Tapon	83453.498	95991.904	NODO=655;DIAMETRO=2;
A Buje	83449.046	95992.657	NODO=654;DIAM=4x2;
A Tapon	83507.11	96048.181	NODO=653;DIAMETRO=2;
A Buje	83507.151	96043.026	NODO=652;DIAM=4x2;
A Buje	83534.965	95820.883	NODO=650;DIAM=4x3;
A Tapon	83536.894	95819.862	NODO=651;DIAMETRO=3;
A Buje	83335.678	95641.746	NODO=648;DIAM=4x2;
A Tapon	83338.564	95641.236	NODO=649;DIAMETRO=2;
A Buje	83110.583	95623.402	NODO=646;DIAM=4x2;
A Tapon	83112.735	95623.834	NODO=647;DIAMETRO=2;
A Buje	83279.605	95722.698	NODO=644;DIAM=4x2;
A Tapon	83279.278	95720.801	NODO=645;DIAMETRO=2;
A Buje	83128.85	95725.968	NODO=642;DIAM=4x3;
A Tapon	83130.213	95724.81	NODO=643;DIAMETRO=3;
A Buje	83100.094	95589.85	NODO=640A;DIAM=6x2;
A Tapon	83098.54	95589.513	NODO=641A;DIAMETRO=2;
A Buje	83106.085	95726.9	NODO=638A;DIAM=6x2;
A Tapon	83102.86	95729.622	NODO=639A;DIAMETRO=2;
VENTOSA	83532.02	95817.564	
VENTOSA	83616.721	95861.246	
VENTOSA	83587.983	96029.417	
VENTOSA	82888.648	95614.065	
VENTOSA	83625.739	95587.855	
VENTOSA	83549.543	95212.715	
VENTOSA	83618.437	95542.122	
VENTOSA	83664.212	95334.265	
VENTOSA	83629.85	95021.348	
VENTOSA	83126.803	95090.025	
VENTOSA	82834.571	95618.577	
VENTOSA	82673.089	95723.883	
A Buje	83587.462	96048.446	NODO=112;DIAM=8x6;
A Buje	83064.7	95352.126	NODO=560;DIAM=4x2;
A Buje	83163.171	95531.714	NODO=411A;DIAM=4x2;
A Codo11.25	82416.336	95421.578	NODO=331;DIAMETRO=12;
A Codo11.25	82422.088	95427.305	NODO=330;DIAMETRO=12;
Union	82929.177	95528.896	NODO=2;DIAM=12;
codo 45	82926.434	95527.53	NODO=641;DIAMETRO=12;
codo 45	82922.833	95526.524	NODO=640;DIAMETRO=12;
codo 45	82916.101	95529.783	NODO=638;DIAMETRO=12;
codo 45	82918.503	95526.237	NODO=639;DIAMETRO=12;
Union	82929.186	95518.855	NODO=1;DIAM=12 EMPATE LINEA;
A Buje	82893.6	95643.565	NODO=343;DIAM=8x6;
A Codo22.5	82885.943	95644.588	NODO=344;DIAMETRO=8;
A Tee	82892.915	95641.888	NODO=342;DIAM=8x8;
VALVULA PROY	82872.79	95652.431	NODO=345;DIAMETRO=8;
A Codo11.25	82701.12	95723.437	NODO=355;DIAMETRO=8;
A Codo11.25	82827.688	95656.337	NODO=348;DIAMETRO=8;
A Tee	82836.456	95648.721	NODO=347;DIAM=8x8;
A Codo22.5	82711.735	95707.859	NODO=352;DIAMETRO=8;
A Codo11.25	82706.974	95711.986	NODO=353;DIAMETRO=8;
codo 45	82699.318	95748.123	NODO=356;DIAMETRO=8;
A Codo11.25	82764.025	95691.77	NODO=351;DIAMETRO=8;
A Codo22.5	82702.638	95717.69	NODO=354;DIAMETRO=8;
A Tee	82694.875	95751.836	NODO=357;DIAM=8x8;
A Tee	82863.182	95662.248	NODO=346;DIAM=8x8;
A Codo11.25	82802.561	95672.45	NODO=349;DIAMETRO=8;
A Codo11.25	82780.955	95684.373	NODO=350;DIAMETRO=8;
A Buje	83611.68	95541.999	NODO=436A;DIAM=12x8;
A Buje	83537.69	95585.966	NODO=43A;DIAM=12x8;
A Tapon	82283.87	95268.132	NODO=341;DIAMETRO=12;
CODO90	82929.186	95517.455	NODO=399B;DIAM=12;
CODO90	82929.176	95538.182	NODO=3;DIAM=12;
A Codo22.5	82909.422	95540.509	NODO=3B;DIAMETRO=12;
codo 45	82910.56	95538.071	NODO=3A;DIAMETRO=12;
A Codo11.25	82900.861	95561.129	NODO=4;DIAMETRO=12;
codo 45	82923.389	95574.412	NODO=5A;DIAMETRO=12;
codo 45	82918.696	95579.153	NODO=5;DIAMETRO=12;
CODO90	82929.835	95566.052	NODO=6;DIAM=12;
A Tee	82929.635	95574.636	NODO=10;DIAM=12X12;
A Tee	83616.721	95861.246	NODO=84A;DIAM=6x4;
VALVULA PROY	83147.344	95956.687	NODO=202A;DIAMETRO=6;
VALVULA PROY	83585.351	96034.871	NODO=111;DIAMETRO=8;
