CLASE	NOMBRE_O_TEXTO	X	Y	ROT	CAPA
INSERT	Valvula HIDRANTE	83083.859	95536.474	3.1739	0
INSERT	A Hidrante	82934.903	95535.775	0.0323	0
INSERT	Valvula HIDRANTE	82934.976	95533.888	3.1739	0
INSERT	A Hidrante	82931.17	95567.388	3.1635	0
INSERT	Valvula HIDRANTE	82931.136	95569.277	0.0179	0
INSERT	A Hidrante	82867.273	95562.763	2.0885	0
INSERT	Valvula HIDRANTE	82868.908	95563.708	5.2301	0
INSERT	A Hidrante	82805.83	95636.289	2.4597	0
INSERT	Valvula HIDRANTE	82807.011	95637.763	5.6013	0
INSERT	A Hidrante	82721.109	95679.614	2.9475	0
INSERT	Valvula HIDRANTE	82721.461	95681.47	6.0891	0
INSERT	A Hidrante	82291.473	95268.158	4.0143	0
INSERT	Valvula HIDRANTE	82290.018	95269.362	0.8727	0
INSERT	A Hidrante	82355.165	95341.926	4.0143	0
INSERT	Valvula HIDRANTE	82353.71	95343.13	0.8727	0
INSERT	A Hidrante	82418.94	95415.67	4.0143	0
INSERT	Valvula HIDRANTE	82417.485	95416.875	0.8727	0
INSERT	A Hidrante	82482.3	95490.021	4.0143	0
INSERT	Valvula HIDRANTE	82480.845	95491.226	0.8727	0
INSERT	A Hidrante	82545.038	95564.609	4.0143	0
INSERT	Valvula HIDRANTE	82543.583	95565.814	0.8727	0
INSERT	A Hidrante	82607.761	95639.284	4.0143	0
INSERT	Valvula HIDRANTE	82606.306	95640.489	0.8727	0
INSERT	A Hidrante	82670.096	95709.566	4.0143	0
INSERT	Valvula HIDRANTE	82668.642	95710.77	0.8727	0
INSERT	A Hidrante	82727.779	95782.152	4.0143	0
INSERT	Valvula HIDRANTE	82726.324	95783.357	0.8727	0
INSERT	A Hidrante	82789.932	95856.611	4.0143	0
INSERT	Valvula HIDRANTE	82788.477	95857.816	0.8727	0
INSERT	A Hidrante	83081.276	95879.604	4.0059	0
INSERT	Valvula HIDRANTE	83079.831	95880.821	0.8643	0
INSERT	A Hidrante	83591.434	96151.013	4.6822	0
INSERT	Valvula HIDRANTE	83589.545	96151.058	1.5406	0
INSERT	A Hidrante	83536.201	96206.685	1.5316	0
INSERT	Valvula HIDRANTE	83538.089	96206.623	4.6732	0
INSERT	A Hidrante	83596.188	95955.119	4.7421	0
INSERT	Valvula HIDRANTE	83594.301	95955.051	1.6006	0
INSERT	A Hidrante	83542.181	96029.156	3.1714	0
INSERT	Valvula HIDRANTE	83542.113	96031.044	0.0298	0
INSERT	A Hidrante	83449.306	95906.631	6.0283	0
INSERT	Valvula HIDRANTE	83448.841	95904.8	2.8867	0
INSERT	A Hidrante	83444.357	95950.081	4.3553	0
INSERT	A Hidrante	83335.152	95936.373	6.026	0
INSERT	Valvula HIDRANTE	83334.683	95934.544	2.8844	0
INSERT	A Hidrante	83145.805	95950.629	3.4387	0
INSERT	Valvula HIDRANTE	83145.241	95952.431	0.2971	0
INSERT	A Hidrante	83166.864	95980.005	6.026	0
INSERT	Valvula HIDRANTE	83166.395	95978.175	2.8844	0
INSERT	A Hidrante	83006.304	95992.071	2.8844	0
INSERT	Valvula HIDRANTE	83006.772	95993.9	6.026	0
INSERT	A Hidrante	82782.755	95230.359	0.8775	0
INSERT	Valvula HIDRANTE	82784.215	95229.162	4.0191	0
INSERT	A Hidrante	83617.031	95535.934	3.144	0
INSERT	Valvula HIDRANTE	83617.014	95537.823	0.0025	0
INSERT	A Hidrante	83599.055	96241.262	4.2103	0
INSERT	Valvula HIDRANTE	83597.393	96242.161	1.0687	0
INSERT	A Hidrante	82928.853	96003.629	3.6219	0
INSERT	Valvula HIDRANTE	82927.97	96005.298	0.4803	0
INSERT	A Hidrante	83593.425	96056.08	4.7421	0
INSERT	Valvula HIDRANTE	83591.537	96056.011	1.6006	0
INSERT	A Hidrante	82854.269	95929.185	4.0143	0
INSERT	Valvula HIDRANTE	82852.814	95930.389	0.8727	0
INSERT	A Hidrante	83069.967	95153.947	5.5959	0
INSERT	Valvula HIDRANTE	83068.778	95152.479	2.4543	0
INSERT	A Hidrante	83047.068	95570.98	3.1739	0
INSERT	Valvula HIDRANTE	83047.007	95572.867	0.0323	0
INSERT	A Hidrante	83190.506	95573.273	3.1739	0
INSERT	Valvula HIDRANTE	83190.433	95575.16	0.0323	0
INSERT	A Hidrante	82967.154	95222.959	1.6583	0
INSERT	Valvula HIDRANTE	82969.035	95223.136	4.7999	0
INSERT	A Hidrante	83126.561	95454.166	5.5794	0
INSERT	Valvula HIDRANTE	83125.348	95452.718	2.4378	0
INSERT	A Hidrante	83325.773	95475.164	1.7101	0
INSERT	Valvula HIDRANTE	83327.642	95475.438	4.8517	0
INSERT	A Hidrante	83451.802	95358.862	2.4396	0
INSERT	Valvula HIDRANTE	83453.012	95360.312	5.5812	0
INSERT	A Hidrante	83570.437	95260.769	2.3651	0
INSERT	Valvula HIDRANTE	83571.752	95262.125	5.5067	0
INSERT	A Hidrante	83501.983	95705.592	4.7508	0
INSERT	Valvula HIDRANTE	83500.096	95705.507	1.6092	0
INSERT	A Hidrante	83622.375	95592.376	0.0492	0
INSERT	Valvula HIDRANTE	83622.43	95591.273	3.1908	0
INSERT	A Hidrante	83569.093	95526.968	5.1749	0
INSERT	Valvula HIDRANTE	83567.408	95526.114	2.0333	0
INSERT	A Hidrante	83677.23	95322.268	5.1004	0
INSERT	Valvula HIDRANTE	83675.486	95321.542	1.9589	0
