ORIGEN	CAPITULO	SUBCAPITULO	CODIGO	NOMBRE	UM	VALOR
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9138	ALQUILER DE DISPENSADOR PLÁSTICO DE TOALLAS TIPO Z_(Según Apéndice Bioseguridad Covid 19_V1)	UN/MES	3734
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9139	ALQUILER DE FUMIGADORA DE ESPALDA. ASPERSOR BOMBA MANUAL 20 LITROS. DESINFECCIÓN INCLUYE MEZCLA AGUA-HIPOCLORITO 20 mml/LITRO._(Según Apéndice Bioseguridad Covid 19_V1 y V2)	UN/MES	46222
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9140	ALQUILER DE LAVAMANOS PORTATIL DE PEDAL TIPO MANOS LIBRES._(Según Apéndice Bioseguridad Covid 19_V2)	UN/MES	69196
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9141	ALQUILER DE MESA PLÁSTICA DE 0.72m x 0.72m x 0.72m._(Según Apéndice Bioseguridad Covid 19_V1 y V2)	UN/MES	6801
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9142	ALQUILER DE SILLA PLÁSTICA SIN BRAZOS._(Según Apéndice Bioseguridad Covid 19_V1 y V2)	UN/MES	2554
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9143	ALQUILER DE TERMOMETRO DIGITAL, INFRAROJO PARA USO EN HUMANOS, LIBRE DE CONTACTO, IMPERMEABLE. (INCLUYE CALIBRACION)._(Según Apéndice Bioseguridad Covid 19_V2)	UN/MES	62910
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9144	ALQUILER DE TERMÓMETRO INFRARROJO PARA USO EN HUMANOS, LIBRE DE CONTACTO, IMPERMEABLE_(Según Apéndice Bioseguridad Covid 19_V1)	UN/MES	4923
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9145	ALQUILER LAVAMANOS PORTÁTIL EN ACERO INOXIDABLE CON DOS TANQUES PARA AGUA LIMPIA Y RESIDUAL DE 20 LT C/U._(Según Apéndice Bioseguridad Covid 19_V1)	UN/MES	69328
Nuevo	EXCAVACIONES	FORMALETAS, ENTIBADOS, ANDAMIOS Y ACCESORIOS	9146	ALQUILER DE ENTIBADO METALICO TIPO CAJON (E1A - E1B) (Incluye colocación y transporte)	M2	31368
Nuevo	EXCAVACIONES	FORMALETAS, ENTIBADOS, ANDAMIOS Y ACCESORIOS	9147	ALQUILER DE ENTIBADO METÁLICO TIPO DESLIZANTE (E2) (Incluye colocación y transporte)	M2	34276
Nuevo	GESTION SOCIAL	GESTION SOCIAL	9148	MALLA TEXTIL EN POLIESTER DE 2,8m X 7,0m CON SUBLIMACIÓN EN EL TOTAL DE LA SUPERFICIE Y REFUERZO EXTERNO EN REATA PARA TENSAR, Y OJALES EN REATA CADA 75cm. SUMINISTRO, INSTALACION Y TRANSPORTE.(CON VARA DE CORREDOR DE 14cm DE DIÁMETRO Y 4,00m DE ALTURA, ENTERRADO COMO MIN. 0.80, CON 1,50m., ENTRE VARAS)	UN	1249834
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9149	RECOLECCION, TRANSPORTE Y DISPOSICION DE RESIDUOS LÍQUIDOS PROVENIENTES DE LAVAMANOS PORTATILES. (INCLUYE EQUIPO DE SUCCIÓN)._(Según Apéndice Bioseguridad Covid 19_V3)	M3	335988
