ORIGEN	GRUPO	CODIGO	NOMBRE	UM	PRECIO
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11424	CODO EN ACERO D=18" ENTRE 5° Y 22.5° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=0.40X0.40M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	3844460
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11425	CODO EN ACERO D=18" ENTRE 22.5° Y 45° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=0.60X0.60M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	4739025
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11426	CODO EN ACERO D=18" ENTRE 45° Y 67.5° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=0.90X0.90M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	5898972
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11427	CODO EN ACERO D=18" ENTRE 45° Y 67.5° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=1.35X1.35M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	7456992
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11429	CODO EN ACERO D=20" ENTRE 5° Y 22.5° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=0.40X0.40M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	4217083
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11430	CODO EN ACERO D=20" ENTRE 22.5° Y 45° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=0.65X0.65M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	5339674
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11432	CODO EN ACERO D=24" ENTRE 5° Y 22.5° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=0.45X0.45M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	4657453
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11433	CODO EN ACERO D=24" ENTRE 22.5° Y 45° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=0.80X0.80M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	7136172
Demanda	TUBERÍA Y ACCESORIOS EN ACERO	11434	CODO EN ACERO D=24" ENTRE 45° Y 67.5° CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. L=1.20X1.20M. PRESION DE TRABAJO = 250 PSI. SUMINISTRO Y TRANSPORTE	UN	9268560
Demanda	CANAL DE DRENAJE	11435	CANAL DE DRENAJE MONOLÍTICO EN CONCRETO POLIMÉRICO PD 150V, CLASE D400, COLOR NATURAL, H=27cm, A=20cm, Long=100cm, (Incluye rejilla)	ML	724302
